BlockNumber,BlobLengths
19771560,0
19771561,0
19771562,6
19771563,1
19771564,0
19771565,0
19771566,6
19771567,0
19771568,0
19771569,1
19771570,0
19771571,1
19771572,0
19771573,0
19771574,0
19771575,6
19771576,0
19771577,1
19771578,0
19771579,0
19771580,0
19771581,6
19771582,0
19771583,1
19771584,0
19771585,"1, 1"
19771586,0
19771587,0
19771588,0
19771589,0
19771590,0
19771591,0
19771592,6
19771593,6
19771594,0
19771595,"1, 1"
19771596,0
19771597,0
19771598,0
19771599,0
19771600,2
19771601,0
19771602,6
19771603,0
19771604,0
19771605,0
19771606,0
19771607,0
19771608,0
19771609,6
19771610,1
19771611,0
19771612,"1, 1"
19771613,0
19771614,0
19771615,0
19771616,0
19771617,0
19771618,6
19771619,0
19771620,0
19771621,0
19771622,0
19771623,0
19771624,0
19771625,0
19771626,"1, 1"
19771627,6
19771628,6
19771629,0
19771630,0
19771631,1
19771632,0
19771633,0
19771634,0
19771635,0
19771636,2
19771637,6
19771638,0
19771639,0
19771640,0
19771641,0
19771642,0
19771643,6
19771644,0
19771645,"1, 1"
19771646,6
19771647,1
19771648,0
19771649,6
19771650,0
19771651,0
19771652,0
19771653,0
19771654,0
19771655,0
19771656,0
19771657,0
19771658,0
19771659,"2, 1"
19771660,6
19771661,6
19771662,0
19771663,0
19771664,6
19771665,0
19771666,1
19771667,0
19771668,0
19771669,1
19771670,0
19771671,0
19771672,1
19771673,6
19771674,1
19771675,0
19771676,0
19771677,0
19771678,0
19771679,6
19771680,0
19771681,1
19771682,0
19771683,0
19771684,6
19771685,0
19771686,2
19771687,0
19771688,0
19771689,0
19771690,1
19771691,0
19771692,0
19771693,0
19771694,6
19771695,0
19771696,0
19771697,0
19771698,1
19771699,0
19771700,0
19771701,1
19771702,0
19771703,0
19771704,0
19771705,0
19771706,0
19771707,0
19771708,0
19771709,"2, 1"
19771710,0
19771711,6
19771712,0
19771713,0
19771714,0
19771715,0
19771716,0
19771717,0
19771718,1
19771719,6
19771720,6
19771721,1
19771722,1
19771723,1
19771724,0
19771725,2
19771726,6
19771727,0
19771728,6
19771729,6
19771730,0
19771731,0
19771732,0
19771733,1
19771734,0
19771735,0
19771736,0
19771737,0
19771738,6
19771739,0
19771740,0
19771741,0
19771742,"2, 1"
19771743,1
19771744,0
19771745,"1, 1"
19771746,0
19771747,0
19771748,0
19771749,0
19771750,6
19771751,0
19771752,6
19771753,0
19771754,0
19771755,6
19771756,1
19771757,1
19771758,6
19771759,0
19771760,0
19771761,1
19771762,0
19771763,0
19771764,0
19771765,0
19771766,0
19771767,0
19771768,0
19771769,6
19771770,2
19771771,0
19771772,0
19771773,6
19771774,1
19771775,1
19771776,0
19771777,1
19771778,0
19771779,6
19771780,6
19771781,0
19771782,0
19771783,0
19771784,0
19771785,0
19771786,1
19771787,0
19771788,6
19771789,6
19771790,6
19771791,0
19771792,0
19771793,0
19771794,0
19771795,1
19771796,0
19771797,0
19771798,6
19771799,1
19771800,0
19771801,0
19771802,1
19771803,0
19771804,0
19771805,0
19771806,0
19771807,0
19771808,0
19771809,0
19771810,6
19771811,6
19771812,0
19771813,"1, 1"
19771814,0
19771815,0
19771816,"2, 1"
19771817,6
19771818,0
19771819,0
19771820,0
19771821,0
19771822,1
19771823,0
19771824,0
19771825,0
19771826,0
19771827,6
19771828,0
19771829,1
19771830,0
19771831,0
19771832,0
19771833,0
19771834,0
